iterations_cay,cost_vals_cay,gradient_vals_cay,iterations_exp,cost_vals_exp,gradient_vals_exp,iterations_pseudo,cost_vals_pseudo,gradient_vals_pseudo
72,16.040287615100087,0.11979815413426663,72,15.913246042549266,0.09362115687005174,72,15.913021254204113,0.09600226794444452
73,16.039528008380312,0.112841948315761,73,15.912660645669726,0.09220971656974404,73,15.912619050017085,0.0860170377762567
74,16.038839509105852,0.10634717499957452,74,15.912290336549798,0.08255069861737276,74,15.912116666170606,0.08477125406900092
75,16.038214816579195,0.10027371183336715,75,15.911828201054801,0.08129455570478655,75,15.911796443282494,0.07596063400958934
76,16.037648453938473,0.09458756666313803,76,15.911533476600804,0.0727879391848712,76,15.911399322459818,0.07485097092482326
77,16.037134535165396,0.08925731004184916,77,15.911168618595688,0.07167168357487073,77,15.91114435231877,0.06707918223688308
78,16.03679411666182,0.0842641470194292,78,15.910934025189604,0.06418182894410715,78,15.910830407945202,0.06609205136700998
79,16.036397301376375,0.08660789022893767,79,15.910724424531661,0.06319638220855821,79,15.910627368931209,0.05923802021865784
80,16.036037347077738,0.08179265853005618,80,15.910459195148558,0.06224787825551529,80,15.910445858876317,0.05836502334592595
81,16.035710539858236,0.07726792219070128,81,15.910292322488855,0.05572451924627529,81,15.91021746975637,0.0575263581366796
82,16.035414039726923,0.07301322422270437,82,15.910082944438614,0.05488356623096005,82,15.910072910350102,0.05154379060818163
83,16.035144834140468,0.06900901161682237,83,15.909950065115266,0.04914109964840502,83,15.909892349503584,0.05079933743921317
84,16.034900561557397,0.0652385839287029,84,15.909784727720023,0.04839584922247691,84,15.909777195396197,0.045523821485111506
85,16.034678770386684,0.061685799472114715,85,15.909678894453194,0.04334086960975769,85,15.909634409069909,0.04486323201310044
86,16.03447749890794,0.05833675045039953,86,15.909548289977053,0.04268060161775211,86,15.909542658769082,0.040211274714781566
87,16.03429474776457,0.0551779400491133,87,15.9094639781584,0.038230680349198375,87,15.909429710677719,0.03962524464290132
88,16.034128888967714,0.05219763628876374,88,15.909388575312418,0.03764692358692958,88,15.909356590457222,0.035523053649733925
89,16.033978289254428,0.04938442677362132,89,15.909293596657655,0.03708731892831595,89,15.90929123791358,0.035004159395804736
90,16.033841598818427,0.04672830588492563,90,15.90923351391582,0.033211774110861264,90,15.909208931295293,0.034507665565335424
91,16.03371748167956,0.04421953028946635,91,15.909158464589195,0.03271630889944046,91,15.909156833215837,0.030925453998910134
92,16.033604819585527,0.041849487519157895,92,15.909110576624663,0.029303868318818763,92,15.909091712538123,0.030485283733333448
93,16.03353039652869,0.03961062607604619,93,15.90905125105583,0.028865151873920317,93,15.909050170248047,0.027325904782248136
94,16.03344354915513,0.04080111887464211,94,15.909013072389987,0.025860167750688924,94,15.908998628437072,0.026935634283919867
95,16.03336462046902,0.03861721572278512,95,15.90897892623782,0.025471996535303933,95,15.908965494688168,0.02414892107676462
96,16.033292915683433,0.03655312402215806,96,15.908935711236456,0.02510033934069723,96,15.90893585437375,0.02380314518659871
97,16.03322774879115,0.03460171193157658,97,15.908908480304817,0.02248133475951711,97,15.908898252837956,0.023472471397695892
98,16.0331685431094,0.032756655765252427,98,15.908874307851097,0.02215230373602843,98,15.908874606146378,0.02103815715311865
99,16.033114735506334,0.03101174889736803,99,15.908852585672271,0.019845309663033408,99,15.908844834988207,0.020745042256252157
100,16.033065847628695,0.029361440227555585,100,15.908825552064942,0.01955394325449874,100,15.908825964875504,0.01859723116000098
