iterations,cost_GD,gradient_GD,iteration_TR_hess,cost_TR_hess,gradient_TR_hess,iteration_TR_hess_approx,cost_TR_hess_approx,gradient_TR_hess_approx
1,1.6547846460987554,11.68221501591756,1,1.1871161590055574,9.88704992527568,1,1.2038812731304478,10.486778787555163
2,1.5255825260135283,13.345087389754665,2,1.015277566094786,2.52524526546728,2,1.0395446605798015,2.6398193799964824
3,1.4153060548549081,7.803988831606663,3,0.9258182275975801,1.3797217895697866,3,0.9589036752744357,2.5643569849080143
4,1.3624390685317835,5.9418029565413715,4,0.8473077105247365,1.389161805426346,4,0.864405449830878,2.107090000071211
5,1.3222515265494035,5.124328403931308,5,0.7849736391937023,0.9956507191762138,5,0.8047482665756689,1.7327808321184472
6,1.282360422947913,4.535677029960377,6,0.7396978557732583,1.3040340225150726,6,0.7514726399998379,2.108727778391578
7,1.2545364568586252,3.745950134466739,7,0.6994604354210846,1.4466114430982078,7,0.7015424685686328,1.7573346129932383
8,1.2392498465152668,3.19103193159337,8,0.668298398054997,1.9555932067720327,8,0.6590843252039069,1.5222929791601796
9,1.2212497060546332,3.0834586212597506,9,0.6367711816292279,2.283438005519668,9,0.6267536816628696,1.840370501700221
10,1.2064104520020587,2.76971577949348,10,0.6251611465515734,0.6621406658846987,10,0.6086521312089218,1.6317334152017005
11,1.1938873773750982,2.546874247697564,11,0.6189553084141128,0.34965219821083526,11,0.5963230973491037,2.176885925936021
12,1.1829351705266078,2.3942649688784186,12,0.6121483190317146,0.38161428274012005,12,0.5932837252588026,0.20625669471101823
13,1.1733671065982407,2.2972992994417014,13,0.6068213803987161,0.35876627032081304,13,0.5931476742443746,0.3571322987890822
14,1.1648379348536155,2.2485818247087157,14,0.6022027308466424,0.30747448155404167,14,0.5929652554290499,0.025116514450707957
15,1.157421050504399,2.243319289772845,15,0.598613378723192,0.4291119841345206,15,0.5929638791063929,0.05820914240361883
16,1.1481231570305266,2.2815247087849766,16,0.5955968050658779,0.3571481070496988,16,0.5929616090009665,0.0025212428616999565
17,1.1399386081373981,2.154611679651134,17,0.5940994333169833,0.18517342058974104,17,0.5929616077591201,0.0011039704740643955
18,1.1325304456248106,2.072374093412975,18,0.5933010738567975,0.14430196955627494,18,0.5929616077589348,8.15359093918873e-7
19,1.1259029840139774,2.027815480416979,19,0.5931411838030547,0.1430296811408436,,,
20,1.119891573832744,2.018273992397114,20,0.5929676858740851,0.013271646257424816,,,
21,1.1124762884936379,2.0421885247141294,21,0.5929648833062715,0.0817192371097734,,,
22,1.1057616740212401,1.9153092799745688,22,0.59296161142045,0.004919579373735721,,,
23,1.0996727958876684,1.8251476422253572,23,0.5929616077601068,0.0015563174973430912,,,
24,1.0940361700926193,1.7663129405575797,24,0.5929616077589387,2.3625001361369977e-6,,,
25,1.0888631021740551,1.7343770643013596,25,0.592961607758939,2.8027219277144594e-10,,,
26,1.0840658726286965,1.7277883563202525,,,,,,
27,1.0797063469415826,1.7454294323192119,,,,,,
28,1.074214548292855,1.7885767504690504,,,,,,
29,1.0705687783247808,1.6961616103269546,,,,,,
30,1.0657987432789622,1.7846585371513193,,,,,,
31,1.061410059627341,1.7386872145488084,,,,,,
32,1.0573284524284987,1.7161928655520389,,,,,,
33,1.0535784691585375,1.7152752637870847,,,,,,
34,1.048743061206448,1.7361734723036255,,,,,,
35,1.0455220567252805,1.6212667346034086,,,,,,
