iterations,cost_GD,gradient_GD,iteration_TR_hess,cost_TR_hess,gradient_TR_hess,iteration_TR_hess_approx,cost_TR_hess_approx,gradient_TR_hess_approx
1,3.9880854077895096,888.1203149427196,1,6.220929131747033,288.1981740106773,1,6.220929131747033,288.1981740106773
2,2.617948953316215,120.93589310630618,2,6.220929131747033,288.1981740106773,2,6.220929131747033,288.1981740106773
3,2.440311303073451,15.910808098121576,3,6.220929131747033,288.1981740106773,3,6.220929131747033,288.1981740106773
4,2.221287275828698,21.771489735001932,4,4.057437399417984,299.3280456546687,4,4.057437399417984,299.3280456546687
5,2.0951825394216423,17.420304164762666,5,2.935112022529981,230.2274768908307,5,2.9351124705805938,230.2299997583677
6,2.009067496292256,14.815310651471169,6,2.3204471458534064,55.53883414413172,6,2.3204448160806654,55.53819377449495
7,1.9307624637331893,12.87186027078248,7,2.119664614085975,15.765350517022426,7,2.11967013008159,15.765517737591013
8,1.8737260852774829,10.791093639022092,8,2.072341517223043,13.124829893348535,8,2.072415395626595,13.125682775413347
9,1.8349747673180612,9.177570050248663,9,1.9700139363014035,27.45848189115203,9,1.970058725086441,27.46476397781691
10,1.802459636749816,8.397867975048058,10,1.8756898600755727,18.760083656235338,10,1.8756808844475017,18.76655486512773
11,1.7704652531481622,7.743124336775866,11,1.8173059178010167,7.35084760816995,11,1.8172910127894242,7.350141388807368
12,1.7502693994969354,6.980166721377987,12,1.8173059178010167,7.466672503009924,12,1.8172910127894242,7.464532040672258
13,1.7291315315101372,6.948769854784515,13,1.7923747427274779,7.46700838461042,13,1.7923587833760857,7.4648649581076665
14,1.7102743350257903,6.781105649938277,14,1.7641224624841074,7.225141470935417,14,1.7640717827284074,7.224300199481519
15,1.6904877972401384,6.648512263568205,15,1.7641224624841074,15.913771217041718,15,1.7640717827284074,15.895670424378068
16,1.6726654304571213,6.394188498672639,16,1.7365610639035296,15.913769338394111,16,1.7365469304714192,15.895668460947732
17,1.6542169239482003,6.177517324637487,17,1.7182476445102706,9.657658837895537,17,1.718252185185385,9.643375847701744
18,1.6374987170934177,5.863549021734347,18,1.703258050496266,9.330728309868997,18,1.7032570938148874,9.330769777442049
19,1.6205286973906514,5.589364048452525,19,1.6873741926159063,10.494625567129436,19,1.6873788740270415,10.491921127269684
20,1.6050714584477712,5.245703125646318,20,1.6745156098349392,10.262364796671413,20,1.6745109695716005,10.262832098704845
21,1.5932845891500613,4.942767002923347,21,1.664087498767524,11.071096966133837,21,1.66408624200801,11.067655149394904
22,1.5825013903420457,5.030143109618231,22,1.6515901462576588,8.168891448000519,22,1.6515924767279386,8.166218160445927
23,1.5712484856698223,5.138055244678359,23,1.6412324147061008,4.837334727244924,23,1.6412347099972229,4.8370627186408255
24,1.5566459731553595,5.179591093459181,24,1.621202781132214,4.710530474316765,24,1.6212048973471669,4.710382749332322
25,1.5457444678450083,4.776125208758588,25,1.5857296112384247,4.5381565893724485,25,1.5857175860233665,4.537767797409016
26,1.5355762256245613,4.772266779448488,26,1.5857296112384247,5.440800742182759,26,1.5857175860233665,5.43260580309856
27,1.5249643998713411,4.786434800288058,27,1.5857296112384247,5.440800742182759,27,1.5857175860233665,5.43260580309856
28,1.5150282013744774,4.743386700203886,28,1.580680019763929,5.440798276881,28,1.5806734054388087,5.432603353579407
29,1.5046532446493843,4.719721993049611,29,1.5720761017444904,4.2271373829012315,29,1.5720671189943944,4.225114929222277
30,1.4949041103641911,4.64188265154067,30,1.555971911733307,4.093542667416078,30,1.5559522776514105,4.092339264566615
31,1.4847636997034694,4.5844066076264465,31,1.555971911733307,4.4822998885600525,31,1.5559522776514105,4.475635245457222
32,1.4752017028311908,4.4779021867233695,32,1.5484056075654191,4.482313613245412,32,1.5483830511862602,4.475649052074304
33,1.4653211774308692,4.392236374643428,33,1.5356489665779505,4.096874239743471,33,1.53561614275644,4.095367037688002
34,1.4559709400377672,4.264053752062161,34,1.5356489665779505,5.583420511300609,34,1.53561614275644,5.577862264641367
35,1.4463844158686396,4.156659117605456,35,1.530739682750592,5.5834197941296395,35,1.5307112301511208,5.577861563816877
36,1.4372783061164802,4.013921053599105,36,1.5233561431409037,3.8769103560433624,36,1.5233257902638875,3.8748904726684126
37,1.4304621952687875,3.8914648546200294,37,1.510894203083444,3.794247725155105,37,1.510852485780963,3.7927475837614826
38,1.421409032187924,4.0894303647411965,38,1.510894203083444,5.182248498289988,38,1.510852485780963,5.17546082813797
39,1.4122105877652684,3.94351800904182,39,1.5042086321319412,5.182255369316764,39,1.5041725690812169,5.1754677650540915
40,1.4057681933861947,3.7711391580995337,40,1.497642009260542,3.8421910921121243,40,1.4976084083142187,3.843195497079197
41,1.3966396821688345,3.958834156613407,41,1.488259551400285,3.770842376830404,41,1.4882347393478916,3.7712668662292304
42,1.390283501352068,3.7680101221893016,42,1.488259551400285,6.133073760730433,42,1.4882347393478916,6.135883160180379
