iterations,cost_GD,gradient_GD,iteration_TR_hess,cost_TR_hess,gradient_TR_hess,iteration_TR_hess_approx,cost_TR_hess_approx,gradient_TR_hess_approx
1,0.9276494584888907,5.274374095371295,1,0.6560468476010638,4.682180355258248,1,0.6402520996257539,4.93290755090738
2,0.8854984802664171,9.044719737333542,2,0.5649623873481094,2.0023293629382755,2,0.5660838897573258,1.6471087982496508
3,0.8405116079624435,7.187128977875169,3,0.5085018758254297,1.1860813062867244,3,0.5125769012439829,1.6395590960655375
4,0.8108275723888658,5.861670178698924,4,0.4580800886723847,0.9154918127250453,4,0.438270053344521,1.7591893553487599
5,0.7900604566022147,4.91651644972264,5,0.3942222349310834,1.1521773796148393,5,0.37625897783601475,1.161891769833517
6,0.7743174908005845,4.2657067209259445,6,0.34613381521397296,2.0120410826758475,6,0.31465095482971916,1.8532161993252694
7,0.7647479390188359,3.7599531656905536,7,0.34613381521397296,2.5350330072739817,7,0.27240491570390307,1.6085646027786935
8,0.7531626321901207,3.6777531426492613,8,0.3104904118181877,2.5065728150558377,8,0.2275174585096273,2.4466771401638505
9,0.7459279366299085,3.2906376914340036,9,0.2962860272368974,0.7197225843355857,9,0.19451117996443973,1.9878784965906797
10,0.736924477594946,3.260600606920594,10,0.28290724305032405,0.5583927240484277,10,0.17641151023299406,1.629820137972524
11,0.7312075843993356,2.956346179791528,11,0.2699423771132851,0.7148712555123534,11,0.1675736664322365,0.7725008490267748
12,0.7239250949180742,2.964452310910236,12,0.25673643265740037,0.6042283818041679,12,0.16360376895832027,1.0233480294543074
13,0.717431139560142,2.7212633203524077,13,0.24539751151661754,0.5790332044672982,13,0.16175714410396502,0.08972092080214412
14,0.7131941171475822,2.5137221896070914,14,0.23417013009013413,0.6107875201568419,14,0.1616204545832542,0.15185565746756757
15,0.7076930894555975,2.5612285585576093,15,0.2243298615903508,0.6626839831572157,15,0.16159167605049773,0.013351126826649247
16,0.7027249065513232,2.3923041014330217,16,0.2147428092354856,0.6031712951903385,16,0.16159166994290494,0.0006311522530654054
17,0.6993956923480155,2.2470512458596437,17,0.20582149286621426,0.44697248471463763,17,0.16159166994285432,2.9486734262180724e-7
18,0.6950583255401629,2.3246260543319623,18,0.19869263790716973,0.5672507850818718,,,
19,0.6910325246475116,2.2061157449789057,19,0.19055995793350958,0.5090057292420855,,,
20,0.687313171347703,2.104479495162193,20,0.18494494427610092,0.40632386026299766,,,
21,0.6838280874918956,2.017580176518594,21,0.17938906430202645,0.3153235960288812,,,
22,0.6805789657862991,1.9437182487526459,22,0.17475864225604307,0.23796791255340993,,,
23,0.6775143672024169,1.881457924323216,23,0.17096939940303219,0.19406613693500713,,,
24,0.6746391614114189,1.8296856656245188,24,0.1679628720713316,0.17214189206395686,,,
25,0.6719156134749991,1.7874580063653638,25,0.16538587103618976,0.2316891029098306,,,
26,0.6693500975165669,1.7540884799731797,26,0.16364647585087286,0.18496285716289432,,,
27,0.666914378578629,1.7289966749170766,27,0.16247724014006676,0.15113268998461746,,,
28,0.6646156731774611,1.711824666763381,28,0.16183183589417827,0.08003327374794035,,,
29,0.6624327089897882,1.7022769868380594,29,0.16160021021311072,0.05147185077049059,,,
30,0.660373457144337,1.7002673067565994,30,0.16159277298687336,0.040709718577533624,,,
31,0.6584221282203528,1.7057423287151832,31,0.16159185431074813,0.0011893311707657707,,,
32,0.6565877605911353,1.7188613048417274,32,0.1615916700536981,0.0032910673270969072,,,
33,0.6541348647890071,1.7398059481680783,33,0.16159166995532656,9.486179363271672e-6,,,
34,0.6524788403031287,1.6110929775747718,34,0.16159166995182722,1.736960654199878e-8,,,
35,0.6502778763597115,1.64382157946751,,,,,,
36,0.6487800454074318,1.5357030000120129,,,,,,
37,0.6467816902874663,1.5793445503797414,,,,,,
38,0.6449090331893887,1.4879509554019803,,,,,,
39,0.6435976747678712,1.4081284698007779,,,,,,
40,0.641872889816993,1.4644316585179682,,,,,,
41,0.640237079422676,1.396885880853131,,,,,,
42,0.6390997473026767,1.3380105913707234,,,,,,
43,0.6375810328906635,1.4072479031757565,,,,,,
44,0.6361341259233946,1.3582399129086087,,,,,,
45,0.63475020755334,1.3160673460825083,,,,,,
46,0.6334254825245738,1.2801299530986374,,,,,,
47,0.6321538073430334,1.2498542968886386,,,,,,
48,0.6309327217602629,1.2248524063394355,,,,,,
49,0.6297578753524161,1.2047297774475618,,,,,,
50,0.6286277748345226,1.1892646857193598,,,,,,
51,0.6275393356632643,1.1782057385530156,,,,,,
52,0.6264918537622949,1.1714684268818076,,,,,,
53,0.6254832071877038,1.1689224182608813,,,,,,
54,0.6245134354094072,1.1706040754579394,,,,,,
55,0.6235812320825247,1.1764928606914917,,,,,,
56,0.6226874451231045,1.186739981098217,,,,,,
57,0.6218315648534929,1.201432639621397,,,,,,
58,0.6206774482313129,1.2208406369236378,,,,,,
59,0.6198795600496565,1.1345617239494603,,,,,,
60,0.618817103162636,1.1605028044303345,,,,,,
61,0.6180723668697764,1.0866048289809753,,,,,,
62,0.6170846792518885,1.1187199909966021,,,,,,
63,0.6163905920158118,1.0550140834793962,,,,,,
64,0.6154654814304257,1.0933197979230114,,,,,,
65,0.6148214753236196,1.03819423008809,,,,,,
66,0.613950053463447,1.0830426243682658,,,,,,
67,0.6131148968323106,1.035352864949791,,,,,,
68,0.6125323660492092,0.9933610149142069,,,,,,
69,0.6117402150151003,1.046036367723778,,,,,,
70,0.6109777236964977,1.0101064082040834,,,,,,
71,0.6102408982461649,0.9787085448367734,,,,,,
72,0.6095285287913955,0.9514788857273537,,,,,,
73,0.6088375025214644,0.9280070898910233,,,,,,
74,0.6083508953024024,0.908049717278053,,,,,,
75,0.607692449144742,0.9734735369606743,,,,,,
76,0.6070541791463004,0.9585085911196735,,,,,,
