iterations,cost_GD,gradient_GD,iteration_TR_hess,cost_TR_hess,gradient_TR_hess,iteration_TR_hess_approx,cost_TR_hess_approx,gradient_TR_hess_approx
1,3.9880854077895096,888.1203149427196,1,48.74423456946695,540.5559450977696,1,6.220929131747033,288.1981740106773
2,2.617948953316215,120.93589310630618,2,48.74423456946695,540.5559450977696,2,6.220929131747033,288.1981740106773
3,2.440311303073451,15.910808098121576,3,48.74423456946695,540.5559450977696,3,6.220929131747033,288.1981740106773
4,2.221287275828698,21.771489735001932,4,41.40810278792091,531.5705263477256,4,4.057437399417984,299.3280456546687
5,2.0951825394216423,17.420304164762666,5,41.40810278792091,442.2836934165166,5,2.9351124705805938,230.2299997583677
6,2.009067496292256,14.815310651471169,6,31.705115368857296,444.65585980668726,6,2.3204448160806654,55.53819377449495
7,1.9307624637331893,12.87186027078248,7,28.730920502670372,191.30964928610234,7,2.11967013008159,15.765517737591013
8,1.8737260852774829,10.791093639022092,8,27.102579115400086,110.75216289352475,8,2.072415395626595,13.125682775413347
9,1.8349747673180612,9.177570050248663,9,25.55789378646234,114.90960775676487,9,1.970058725086441,27.46476397781691
10,1.802459636749816,8.397867975048058,10,24.470478245646287,121.7486398109833,10,1.8756808844475017,18.76655486512773
11,1.7704652531481622,7.743124336775866,11,23.372525967270875,115.5435511116438,11,1.8172910127894242,7.350141388807368
12,1.7502693994969354,6.980166721377987,12,22.43587921815323,119.67982321335536,12,1.8172910127894242,7.464532040672258
13,1.7291315315101372,6.948769854784515,13,21.61666393310918,109.32782406654515,13,1.7923587833760857,7.4648649581076665
14,1.7102743350257903,6.781105649938277,14,20.78119425509472,116.59912785429086,14,1.7640717827284074,7.224300199481519
15,1.6904877972401384,6.648512263568205,15,20.15887958226488,103.88509369402844,15,1.7640717827284074,15.895670424378068
16,1.6726654304571213,6.394188498672639,16,19.400300484552496,113.58242982880162,16,1.7365469304714192,15.895668460947732
17,1.6542169239482003,6.177517324637487,17,18.927861380005023,99.11831307768362,17,1.718252185185385,9.643375847701744
18,1.6374987170934177,5.863549021734347,18,18.230144501470733,110.82519937344314,18,1.7032570938148874,9.330769777442049
19,1.6205286973906514,5.589364048452525,19,17.877790285309327,94.91277034622904,19,1.6873788740270415,10.491921127269684
20,1.6050714584477712,5.245703125646318,20,17.228373850978027,108.37544023093075,20,1.6745109695716005,10.262832098704845
21,1.5932845891500613,4.942767002923347,21,17.228373850978027,90.73799829930687,21,1.66408624200801,11.067655149394904
22,1.5825013903420457,5.030143109618231,22,16.697330703741077,90.82759969015763,22,1.6515924767279386,8.166218160445927
23,1.5712484856698223,5.138055244678359,23,16.273693794207674,52.78650400342085,23,1.6412347099972229,4.8370627186408255
24,1.5566459731553595,5.179591093459181,24,15.891043835817612,48.750644571461734,24,1.6212048973471669,4.710382749332322
25,1.5457444678450083,4.776125208758588,25,15.521263121109719,47.4507491121786,25,1.5857175860233665,4.537767797409016
26,1.5355762256245613,4.772266779448488,26,15.189397170523756,47.53715895959921,26,1.5857175860233665,5.43260580309856
27,1.5249643998713411,4.786434800288058,27,14.869639337452208,46.58364973725482,27,1.5857175860233665,5.43260580309856
28,1.5150282013744774,4.743386700203886,28,14.579910216843135,46.881618925589734,28,1.5806734054388087,5.432603353579407
29,1.5046532446493843,4.719721993049611,29,14.30191009098169,45.78861470219284,29,1.5720671189943944,4.225114929222277
30,1.4949041103641911,4.64188265154067,30,14.047059682532124,46.25616469699385,30,1.5559522776514105,4.092339264566615
31,1.4847636997034694,4.5844066076264465,31,13.80437131182476,45.03244566340847,31,1.5559522776514105,4.475635245457222
32,1.4752017028311908,4.4779021867233695,32,13.578693453221419,45.67680653357164,32,1.5483830511862602,4.475649052074304
33,1.4653211774308692,4.392236374643428,33,13.366146644276045,44.326431745071865,33,1.53561614275644,4.095367037688002
34,1.4559709400377672,4.264053752062161,34,13.16502828466636,45.147793792557735,34,1.53561614275644,5.577862264641367
35,1.4463844158686396,4.156659117605456,35,12.97838781162023,43.67130719446802,35,1.5307112301511208,5.577861563816877
36,1.4372783061164802,4.013921053599105,36,12.798047001642502,44.667227826379545,36,1.5233257902638875,3.8748904726684126
37,1.4304621952687875,3.8914648546200294,37,12.633796901796162,43.0646799038266,37,1.510852485780963,3.7927475837614826
38,1.421409032187924,4.0894303647411965,38,12.471105886932591,44.23124174247713,38,1.510852485780963,5.17546082813797
39,1.4122105877652684,3.94351800904182,39,12.32629852979577,42.503223449396515,39,1.5041725690812169,5.1754677650540915
40,1.4057681933861947,3.7711391580995337,40,12.178654848347785,43.83543853353194,40,1.4976084083142187,3.843195497079197
41,1.3966396821688345,3.958834156613407,41,12.0507994590088,41.98347800244645,41,1.4882347393478916,3.7712668662292304
42,1.390283501352068,3.7680101221893016,42,11.916027956722404,43.47545469776706,42,1.4882347393478916,6.135883160180379
43,1.3812411788152765,3.939668659386872,43,11.803005521291523,41.50215610172705,43,1.4830267934695733,6.135894276427068
44,1.3749296701595726,3.733809798178936,44,11.679281900303657,43.14718779481762,44,1.4770385600103335,3.80193648689916
45,1.3659979187097442,3.8886680022352595,45,11.579278784587657,41.05624889024144,45,1.4711654081770054,3.755651195695461
46,1.3597035729736202,3.6714254712528804,46,11.465068887637084,42.84688156873038,46,1.4654437762908519,3.7374204738974885
47,1.3532668408053945,3.8093374307501797,47,11.37652426172273,40.64304710760687,47,1.4598675395985325,3.733351985707727
48,1.344602729876906,3.9253490247193046,48,11.270535213919453,42.57114758617336,48,1.4544479271851738,3.7365558533368244
49,1.3381723410170259,3.7060623548790326,49,11.192098943766414,40.2601256294786,49,1.4491666002207044,3.742565537142711
50,1.3296617827310864,3.8062418246082244,50,11.093239422260723,42.316958192305,50,1.4440280941141985,3.749336968018138
51,1.3232378616196037,3.582279555392375,51,11.023738053566035,39.90531373039634,51,1.4390130579891434,3.7555902618470003
52,1.3170898820382393,3.667772144235113,52,10.931085697338865,42.08162686358803,52,1.4341257456968308,3.761292029545822
53,1.3107844738088308,3.769955715166105,53,10.8694947864473,39.57666148693673,53,1.4293486879508233,3.7662025649909503
54,1.3022874960549642,3.850162883307968,54,10.782269264500572,41.8627835572468,54,1.4246867764685818,3.7706992719238905
55,1.2959783073029691,3.600067459370711,55,10.782269264500572,39.231095887058466,55,1.4201243428581827,3.77463297480614
56,1.2899123275775792,3.6667141191009534,56,10.66791506712505,39.240375946797116,56,1.4156666660911905,3.7783560160195027
57,1.2836924025488066,3.7488250425399383,57,10.594975165854692,22.39465064230213,57,1.4112994927087512,3.7816733929523925
58,1.2753035887240296,3.809599122145812,58,10.529529871250089,19.683745239954263,58,1.4070282869786797,3.7848953212910215
59,1.2690888283372708,3.542781387195516,59,10.46543432499322,19.993094009215202,59,1.4028399347317821,3.78780033285171
60,1.2630832038393247,3.5919061521153424,60,10.40475228720536,20.01124927781664,60,1.3988294883670391,3.7906849503578997
61,1.2569455252967794,3.6548115996215884,61,10.345512456274598,19.875187087294584,61,1.3959308174823386,4.350969231047578
